sentimen,tweet,labels
negatif,kata indonesia tidak harga bangsa asing berita ini pasti hoaks buat kuasa ya kan,0
netral,batu langka tasbih jokowi hadiah dari habib luthfi harga mercedes,1
netral,di era jokowi ekonomi indonesia makin baik pictwittercomwythnxstp,1
positif,bagi sumatra selatan asi games dampak pada ekonomi langsung prediksi capai triliun indonesia maju jokowi hebat,2
negatif,negara kita utang buat bangun infrastruktur yang sudah pakai masyarakat terus masyarakat keluh karena negara utang tiap negara itu pasti utang utang bisa bayar kalau negara dapat hasil hasil negara itu ya dari pajak,0
netral,yang bisikin pak jokowi cuma pikir putar duit di golong tentu esports hanya bagi kecil dari sekian besar tentu tumbuh ekonomi indonesia bukan hal fundamental betul yang kata prabowo walau dengan bahas yang sederhana tetapi mrpkan aspek fundamental ekonomi,1
positif,masa tenang masih oceh ajattp jokowi harga mati,2
positif,kerjasa ekonomi bilateral multilateral kita doa di tempat mungut suara sambil dengar suara hati,2
netral,iya benar kakak kita mantap kan pilih ke pimpin yang bisa beri solusi bukan yang salah pimpin belum dismash sama mas bowo percuma koalisi kalau mengantam teman koalisi yang pulang penting pilih pimpin yang rajin ibadah wajib bisa aji jumat,1
negatif,prabowosandi sepakat tak ambil gaji karena negara sedang susah,0
positif,pilih pimpin itu yang sudah jelas banyak capai nah ini dia capai ekonomi lama perintah jokowi coblos yuk kerja pasti,2
positif,calon presiden jokowi jelas program kartu pra kerja akan beri insentif dalam kurun waktu tentu bukan arti beri gaji cara cumacuma bagi masyarakat yang belum hasil pictwittercomnjhhmiizv,2
negatif,tidak nginti kamu to dan sih abdillahtoha juga tidak ngacaaa tidak usah ajar sandi soal ekonomi banding jokowi,0
positif,turut jokowi perintah selalu upaya jaga imbang agar harga pada posisi normal tani bagai produsen senang karena hasil kerja harga cara layak pictwittercomyzpyjihso,2
netral,terlalu berat nge bahas ekonomi dengan angka cukup bahas mobil legend saja,1
netral,mantulz sekali pakmengisi masa tenang dengan umrah sama keluarga cinta istri anak pada akhir memang keluarga lah aset pulang harga sehat selalu pakdeee,1
positif,penting sisi industri kreatif dan inovatif di era industri global buat jokowi gerak untuk ubah badan ekonomi kreatif bekraf jadi buah menteri coblos yuk kerja pasti pictwittercomvpqigzacq,2
positif,dalam pakta integritas antara prabowo sandi dan ulama yang libat dalam ijtimak ulama sudah sangat jelas bahwa pancasila dan negara satu republik indonesia itu adalah harga mati tidak ada itu khilafah khilafah hanya bual para makhluk di kolam,2
netral,saya dengar pak mbak vidya dari curup dulu beli lipstik purbasari harga ribu tapi sekarang beli lipstik nyx tidak cukup ribu,1
positif,prabowo sejak jadi tentara nasional indonesia puluh tahun enggak dia ambil gaji rupiah pun sandi sejak jadi wakil gubernur juga demikian susah ya cari orang seperti mereka yang tidak ambil gaji dari hasil mereka kerja untuk negara pictwittercomuxnjznw,2
netral,assalamualaikum saya tahu suara itu sangat harga dalam upaya menang saya harus rela suara karena ada di jakarta namun kartu tanda duduk daerah moga suara saya yang tidak serta bisa balas dengan doa moga allah subhanahu wa taala kabul itu amin ya rabi,1
negatif,jika pilih prabowosandiaga janji tak ambil gaji kita tahu mereka orangorang yang superkaya mbok ya rendah hati jangan nyata kata konotasi angkuh,0
negatif,apa bapak tidak harga rawan yang puasa dan tirakat munajad malam suntuk doa untuk menang mhn balas twit dan kontribusi minum kopi rokok dan lain lain mereka yang tirakatmujahadah jika tidak maka akan gagalayo semua tirakat munajadin,0
positif,prabowo sandi menang otomatis kita ikut sedekah bagi kaum farkir miskin dan dhuafa lalu gaji mereka berfua yang tidak akan ambil dan akan sedekah,2
positif,percaya hanya beri pada mereka yang alam orang milik wakil yang alam bidang ekonomi coblos yuk ya,2
negatif,umat islam yang waras dan cerdas pasti senang beramalcoblos prabowo anda ikut andil dalam amal gaji beliau tidak ambil tetapi untuk amal,0
positif,hasil tidak hanya bidang infrastruktur jokowi juga hasil baik ekonomi indonesia coblos yuk ya,2
negatif,model ngeles truk sudah ketaker busa di depan sandi bicara ekonomi makro dengan congkak untung sandi nya sabar tidak di kick balik pantas saja menteri yang pintar pada mbodoni lah juragan kayak begini pekk nya,0
positif,dengan pilih kita sudah bersodakoh karena prabowo sandi sumbang gaji mereka untuk negarafakir miskin yatim piatu masjid jadi prabowo sandi presiden dan wakil presiden ri uji akhir semester,2
positif,alhamdulillah calon presiden mau sedekah gaji untuk rakyat miskin di sini kami korban gempa pasigala butuh bantu pak,2
netral,no dong mang dan saya percaya semua saudara juang ikhlas hanya ingin negeri ini ubah jauh lebik baik lagi dari sekarang masyarakat damai tenang amankesejahteraan tingkat harga rendah stabil,1
negatif,polisi republik indonesia enggak akan di laden sama pak pulisi karena pak pulisi di gaji sama pakai duit buka sama rakyat lapor nya nanti saja tunggu sudah ganti presiden,0
negatif,bagus dukung jokowi tebang pohon bukan dengan golokgergaji tapi dengan ranting pohon itu sendiri jadi elektabilitas jokowi nyungsep bukan oleh lawan politik tapi oleh dukung dari dalam sendiri tolol pelihara dasar cebong,0
positif,memang tidak bisa kita hendak harga cabai sampai rupiah harga bawang sampai rupiah petan yang kasihan kata jokowi pictwittercomnapisorei,2
netral,presiden jokowi dan raja salman sepakat tingkat kerja sama ekonomi via com,1
negatif,selesai hidup bisa cuma harga mahal turun solusi kubu prabowo bahlull,0
positif,tak akan terima gaji bagai presiden dan wakil presiden akan sumbang ke negara dan fakir miskinpertama dalam sejarah bangsa indonesia debat pilih presiden nyata tutup prabowosandiaga uno lewat,2
positif,kalau infrastructure yang di bangun pakai uang pribadi dia boleh lah yang tidak dukung untuk tidak lewat sana tetapi ini pakai pajak dari semua warga negara dan tiap lewat pun harus bayar,2
positif,ada beberapa harga yang anugerah kepada jadi bukti bahwa adalah sosok pimpin yang aku integritas,2
positif,satu sama jokowikma bagai capai telah hasil capai khusus tumbuh ekonomi di era perintah jika sangat jauh tingkat,2
netral,orang luar negeri sangat harga prestasi yang sudah laku jokowi tetapi negara sendiri banyak yang caci,1
netral,maaf pak rakyat tidak butuh peluk rakyat butuh harga sembako murah listrik tarif turun butuh lap kerja bukan janji saja,1
netral,winter is coming pidato jokowi di international monetary fund bank dunia ibarat ekonomi dunia seperti game of thrones game of throne presiden jokowi penting kuat sama untuk kalah evil winter pictwittercombbzpjbffi,1
positif,april pilih jokowikma dulu sekadar ada tumbuh ekonomi tanpa perata namun di zaman pak jokowi bukan hanya tumbuh ekonomi tapi juga perata bangun,2
netral,jokowi dan raja salman sepakat tingkat kerja sama ekonomi pictwittercomgudihikymw,1
negatif,meski aku di surga mungkin aku tak bahagia bahagia tak sempurna bila itu tanpa gandeng tangan prabowo baru jadi ustad sudah yakin masuk surga wkwk salah pilih guru aji gue,0
negatif,buat anggota id anda tidak layak gaji baik rasa malu utama daripada isi perut gede bacot minim toreh prestasi cc,0
netral,gasah ejek program pak jokowi karena program ini juga tidak asal pasti sudah pikir matang seperti program kartu indonesia sehat dulu mari kita harga jangan saling hujat,1
netral,monggo silahkanitu hak andahargai juga kami yang ingin ubah lebih baik,1
positif,beberapa harga yang anugerah kepada jadi bukti bahwa adalah sosok pimpin yang aku integritas,2
